,Channel,Compound,Date,Negative,Neutral,Positive,Tweet_Ago
159,@CNN,0.4939,Fri Mar 09 23:01:05 +0000 2018,0.0,0.819,0.181,60
160,@CNN,-0.7964,Fri Mar 09 22:51:05 +0000 2018,0.384,0.616,0.0,61
161,@CNN,0.0,Fri Mar 09 22:41:04 +0000 2018,0.0,1.0,0.0,62
162,@CNN,0.0,Fri Mar 09 22:33:06 +0000 2018,0.0,1.0,0.0,63
163,@CNN,-0.5994,Fri Mar 09 22:22:02 +0000 2018,0.163,0.837,0.0,64
164,@CNN,0.3818,Fri Mar 09 22:16:20 +0000 2018,0.0,0.88,0.12,65
165,@CNN,0.0,Fri Mar 09 22:10:33 +0000 2018,0.0,1.0,0.0,66
166,@CNN,0.0772,Fri Mar 09 22:07:10 +0000 2018,0.132,0.723,0.145,67
167,@CNN,0.4753,Fri Mar 09 22:01:25 +0000 2018,0.0,0.859,0.141,68
168,@CNN,-0.5106,Fri Mar 09 21:57:29 +0000 2018,0.142,0.858,0.0,69
169,@CNN,0.5719,Fri Mar 09 21:53:25 +0000 2018,0.0,0.802,0.198,70
170,@CNN,0.3612,Fri Mar 09 21:47:29 +0000 2018,0.0,0.898,0.102,71
171,@CNN,0.3818,Fri Mar 09 21:46:26 +0000 2018,0.0,0.885,0.115,72
172,@CNN,0.4588,Fri Mar 09 21:36:56 +0000 2018,0.074,0.745,0.181,73
173,@CNN,0.2263,Fri Mar 09 21:36:46 +0000 2018,0.067,0.821,0.113,74
174,@CNN,-0.2263,Fri Mar 09 21:29:39 +0000 2018,0.112,0.888,0.0,75
175,@CNN,-0.34,Fri Mar 09 21:25:59 +0000 2018,0.118,0.882,0.0,76
176,@CNN,-0.5423,Fri Mar 09 21:25:53 +0000 2018,0.233,0.698,0.07,77
177,@CNN,0.0,Fri Mar 09 21:16:44 +0000 2018,0.0,1.0,0.0,78
178,@CNN,0.0,Fri Mar 09 21:04:17 +0000 2018,0.0,1.0,0.0,79
179,@CNN,0.4549,Fri Mar 09 21:01:50 +0000 2018,0.0,0.819,0.181,80
180,@CNN,0.2023,Fri Mar 09 20:59:53 +0000 2018,0.09,0.789,0.12,81
181,@CNN,0.0,Fri Mar 09 20:44:31 +0000 2018,0.0,1.0,0.0,82
182,@CNN,-0.4404,Fri Mar 09 20:43:27 +0000 2018,0.121,0.879,0.0,83
183,@CNN,0.1027,Fri Mar 09 20:35:58 +0000 2018,0.113,0.755,0.132,84
184,@CNN,0.0,Fri Mar 09 20:30:25 +0000 2018,0.0,1.0,0.0,85
185,@CNN,0.1027,Fri Mar 09 20:29:23 +0000 2018,0.099,0.785,0.116,86
186,@CNN,-0.34,Fri Mar 09 20:25:51 +0000 2018,0.107,0.893,0.0,87
187,@CNN,0.0,Fri Mar 09 20:13:52 +0000 2018,0.0,1.0,0.0,88
188,@CNN,-0.4404,Fri Mar 09 20:10:14 +0000 2018,0.139,0.861,0.0,89
189,@CNN,0.34,Fri Mar 09 20:08:35 +0000 2018,0.0,0.882,0.118,90
190,@CNN,0.0,Fri Mar 09 20:03:09 +0000 2018,0.0,1.0,0.0,91
191,@CNN,-0.4767,Fri Mar 09 20:00:14 +0000 2018,0.147,0.853,0.0,92
192,@CNN,-0.296,Fri Mar 09 19:58:32 +0000 2018,0.099,0.901,0.0,93
193,@CNN,0.0,Fri Mar 09 19:54:47 +0000 2018,0.0,1.0,0.0,94
194,@CNN,-0.8074,Fri Mar 09 19:50:07 +0000 2018,0.289,0.711,0.0,95
195,@CNN,0.0,Fri Mar 09 19:47:25 +0000 2018,0.0,1.0,0.0,96
196,@CNN,0.4549,Fri Mar 09 19:40:48 +0000 2018,0.0,0.819,0.181,97
197,@CNN,0.296,Fri Mar 09 19:40:03 +0000 2018,0.0,0.896,0.104,98
198,@CNN,0.0,Fri Mar 09 19:36:39 +0000 2018,0.0,1.0,0.0,99
199,@CNN,0.7096,Fri Mar 09 19:30:05 +0000 2018,0.091,0.594,0.315,100
